Code|Artist|Total Views|100M|Avg
1212|Bow Wow|547.4|2|0.111
1213|Rochak Kohli|546.4|1|0.013
1214|Sara Bareilles|545.3|2|0.084
1215|Y2K|545.2|1|0.107
1216|f(x)|544.9|1|0.042
1217|The All-American Rejects|544.7|2|0.093
1218|Kay One|544.6|2|0.036
1219|Lary Over|543.4|1|0.048
1220|K'Naan|541.5|1|0.315
1221|Sevyn Streeter|537.9|1|0.114
1222|Mal£|537.6|0|0.06
1223|Bridgit Mendler|536.7|2|0.037
1224|back number|536.6|1|0.013
1225|Bob Dylan|535.3|0|0.198
1226|Eiffel 65|534.7|2|0.087
1227|Colbie Caillat|533.3|1|0.074
1228|Erol Evgin|532.3|1|0.078
1229|Wanna One|531.2|1|0.043
1230|GReeeeN|531.1|0|0.096
1231|Heuss L'EnfoirÇ|531|2|0.197
1232|Chi DÉn|528.3|1|0.028
1233|Pollo|527.7|2|0.089
1234|Marracash|526.7|0|0.277
1235|Pusho|526.6|1|0.033
1236|Richard Marx|526|1|0.214
1237|R-chord|524.5|0|0.066
1238|Playboi Carti|524|1|0.11
1239|Derya Ulu?|521.9|2|0.101
1240|S?awomir|521.9|1|0.036
1241|UM44K|519.6|2|0.058
1242|Coez|519|1|0.126
1243|Ailee|518.8|1|0.086
1244|Kemilly Santos|517|1|0.116
1245|SinÇad O'Connor|516.3|2|0.249
1246|Queens of the Stone Age|515.5|1|0.096
1247|Beastie Boys|515.5|1|0.114
1248|Jacob Forever|515.3|2|0.149
1249|Judas Priest|514.3|0|0.189
1250|Playa Limbo|514.1|1|0.089
1251|Johnny Cash|513.9|2|0.282
1252|Jimi Hendrix|513.6|1|0.13
1253|Soundgarden|512.6|1|0.139
1254|Annalisa|511.6|0|0.255
1255|Simon & Garfunkel|510|1|0.17
1256|Meat Loaf|508.1|1|0.193
1257|Paloma Mami|508|2|0.164
1258|Jefferson Moraes|506.9|1|0.061
1259|Aun Feeble Heart|505.5|1|0.029
1260|Emma Marrone|503.2|0|0.077
1261|Bonde da Stronda|502.7|1|0.06
1262|Starship|499.3|2|0.326
1263|K. Michelle|499|0|0.062
1264|Munhoz & Mariano|498.6|1|0.034
1265|Lilit Hovhannisyan|498|1|0.12
1266|Cole Swindell|496.6|1|0.19
1267|The xx|496|0|0.061
1268|Zendaya|495.1|1|0.054
1269|Hayley Kiyoko|495|1|0.07
1270|Fleetwood Mac|494.9|0|0.355
1271|Elisa|492.4|0|0.097
1272|Zaho|492.1|1|0.197
1273|OK Go|490.6|0|0.037
1274|Boef|490.5|0|0.173
1275|Momoiro Clover Z|489.9|0|0.078
1276|Lou Bega|489.7|1|0.16
1277|Amir|488.8|2|0.137
1278|Ayumi Hamasaki|487.4|0|0.136
1279|Young Money|487|1|0.07
1280|Hinder|486|1|0.121
1281|Theory of a Deadman|485.4|1|0.056
1282|Rage Against The Machine|484.7|1|0.19
1283|Colonel Reyel|484.4|1|0.039
1284|GÅlben Ergen|484.3|1|0.086
1285|TVXQ|482.9|0|0.067
1286|Take That|482.2|0|0.144
1287|Las Ketchup|481.9|2|0.18
1288|Andreas Gabalier|481.8|1|0.067
1289|Gliss|481.7|2|0.017
1290|Showtek|480.9|2|0.021
1291|KARA|478.7|1|0.175
1292|Diddy ? Dirty Money|478.3|1|0.063
1293|Deep Purple|476.9|2|0.175
1294|Karmin|475.1|1|0.066
1295|Vanilla Ice|474.2|1|0.155
1296|Ton Carfi|473.7|2|0.235
1297|Negramaro|472.1|0|0.074
1298|Nimo|472|0|0.068
1299|Mohombi|471.2|2|0.082
1300|Retrospect|470.7|1|0.041
1301|Luma Elpidio|470|2|0.118
1302|Big Shaq|469.9|1|0.038
1303|Bappi Lahiri|469.9|1|0.084
1304|BTOB|468.2|0|0.08
1305|Sachet Tandon|466.2|1|0.119
1306|Kell Smith|463.3|1|0.101
1307|Eva|462.5|1|0.067
1308|Cheryl|459.3|0|0.026
1309|Blackstreet|458.7|1|0.165
1310|Fridaynight to Sunday|458.4|1|0.103
1311|Hilary Duff|458.2|0|0.034
1312|Belanova|458|1|0.225
1313|A.R. Rahman|455.7|1|0.074
1314|H??ng TrÖm|455.1|2|0.058
1315|Sam Tsui|455.1|0|0.017
1316|Akcent|451.1|1|0.028
1317|Sigma|451|1|0.027
1318|Parampara Tandon|450.9|1|0.109
1319|Discopraise|450.6|1|0.093
1320|M?|449.7|1|0.036
1321|Billy Currington|448.7|1|0.089
1322|Grimes|448.6|0|0.173
1323|Anaãs Delva|447.9|1|0.046
1324|Jaden Smith|447.9|1|0.038
1325|MC Guimà|446.9|1|0.028
1326|Vald|446.5|1|0.042
1327|Grace|446.1|1|0.066
1328|Alligatoah|445.7|0|0.073
1329|Chance the Rapper|445.4|1|0.051
1330|Sugarland|442.3|1|0.072
1331|Salmo|439.7|0|0.086
